impl,n,p,trial,seconds
basic,262144,1,1,78.29
advanced,262144,1,1,0.31
basic,262144,1,1,77.84
advanced,262144,1,1,0.31
basic,262144,1,2,78.08
advanced,262144,1,2,0.31
basic,262144,1,3,78.60
advanced,262144,1,3,0.32
basic,262144,2,1,38.45
advanced,262144,2,1,0.31
basic,262144,2,2,38.17
advanced,262144,2,2,0.32
basic,262144,2,3,38.74
advanced,262144,2,3,0.32
basic,262144,4,1,26.52
advanced,262144,4,1,0.32
basic,262144,4,2,26.39
advanced,262144,4,2,0.32
basic,262144,4,3,25.94
advanced,262144,4,3,0.32
basic,262144,8,1,24.82
advanced,262144,8,1,0.35
basic,262144,8,2,25.79
advanced,262144,8,2,0.35
basic,262144,8,3,25.09
advanced,262144,8,3,0.34
